"Source:","C:\Users\Jonathan Kayne\Documents\KiCAD\Modular Synth\VCO_2_RevB_Interface\VCO_2_RevB_Interface.sch"
"Date:","05/26/19 17:50:31"
"Tool:","Eeschema (5.1.0)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","22"

"Individual Components:"

"","","J12","4832","Synth:MJ-3502","Synth:Schurter_4832_Jack","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","https://www.digikey.com/short/p4nr1r","486-3418-ND","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc.","1.50"
"","","J13","4832","Synth:MJ-3502","Synth:Schurter_4832_Jack","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","https://www.digikey.com/short/p4nr1r","486-3418-ND","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc.","1.50"
"","","J14","4832","Synth:MJ-3502","Synth:Schurter_4832_Jack","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","https://www.digikey.com/short/p4nr1r","486-3418-ND","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc.","1.50"
"","","PHOTO1","ChibiHead","Synth:ChibiHead","Synth:ChibiHead","","N/A","N/A","","","","","","","0.00"
"","","RV1","25k","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nfq1","PTV09A-4020F-B203-ND","","","","","","","0.83"
"","","RV2","25k","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nfq1","PTV09A-4020F-B203-ND","","","","","","","0.83"
"","","RV3","25k","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nfq1","PTV09A-4020F-B203-ND","","","","","","","0.83"
"","","RV4","25k","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nfq1","PTV09A-4020F-B203-ND","","","","","","","0.83"
"","","RV5","25k","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nfq1","PTV09A-4020F-B203-ND","","","","","","","0.83"
"","","RV6","25k","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nfq1","PTV09A-4020F-B203-ND","","","","","","","0.83"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey Link","Digikey PN","Field4","Field5","Field6","Field7","Field8","Field9","Unit Price"
"1","4","CN1, CN2, CN3, CN4","M3_Screw","Synth:M3_Screw","Synth:M3_Screw_Hole","","N/A","N/A","","","","","","","0.00"
"2","1","J1","Interface","Connector_Generic:Conn_02x09_Odd_Even","Synth:PinHeader_2x09_P2.54mm_Vertical_Zigzag","~","N/A","N/A","","","","","","","0.00"
"3","10","J5, J6, J7, J8, J9, J10, J11, J12, J13, J14","4832","Synth:MJ-3502","Synth:Schurter_4832_Jack","https://www.digikey.com/product-detail/en/cui-inc/MJ-3502/CP-3502MJ-ND/281321?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol","https://www.digikey.com/short/p4nr1r","486-3418-ND","CP-3502MJ-ND","None","MJ-3502","https://www.cui.com/product/interconnect/connectors/audio-connectors/jacks/mj-3502?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","3.5 mm, Mono, Right Angle, Through Hole, Threaded Bushing, Audio Jack Connector","CUI Inc.","1.50"
"4","1","PHOTO1","ChibiHead","Synth:ChibiHead","Synth:ChibiHead","","N/A","N/A","","","","","","","0.00"
"5","6","RV1, RV2, RV3, RV4, RV5, RV6","25k","Device:R_POT","Synth:Potentiometer_Bourns_PTV09A-1_Single_Vertical","~","https://www.digikey.com/short/p4nfq1","PTV09A-4020F-B203-ND","","","","","","","0.83"
